Brand, Product_Name, Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)| 100411NT+8GSEL,Free Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR 8G OC Video Card,$3.99 Shipping
MSI,MSI GeForce GTX 1080 DirectX 12 GTX 1080 ARMOR 8G OC Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 FTW2 GAMING iCX| 08G-P4-6686-KR| 8GB GDDR5X| RGB LED| 9 Thermal Sensors| Asynchronous Fan Control| Thermal Display LED System| Optimized Airflow Fin Design| Die Cast/Form Fitted,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 DirectX 12 GV-N1080WF3OC-8GD Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Mini| ZT-P10700G-10M| 8GB GDDR5,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1080 G1 Gaming GV-N1080G1 GAMING-8GD Video Card,$4.99 Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1050 SC GAMING| 02G-P4-6152-KR| 2GB GDDR5| DX12 OSD Support (PXOC),$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE AORUS Radeon RX 570 DirectX 12 GV-RX570AORUS-4GD Video Card,$4.99 Shipping
Sapphire Tech,SAPPHIRE NITRO+ Radeon RX 580 DirectX 12 100411NT+4G-2L Video Card w/ Backplate (UEFI)| SAMSUNG MEMORY,$0.05 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1070 Ti DirectX 12 GV-N107TGAMING-8GD Video Card,$4.99 Shipping
MSI,MSI GeForce GTX 1080 DirectX 12 GTX 1080 DUKE 8G OC Video Cards,Free Shipping
MSI,MSI GeForce GTX 1080 DirectX 12 GTX 1080 AERO 8G OC Video Card,$4.99 Shipping
ASUS,ASUS GeForce GTX 1060 DUAL-GTX1060-O6G Video Card,$4.99 Shipping
PowerColor,PowerColor RED DRAGON Radeon RX 570 DirectX 12 AXRX 570 4GBD5-3DHD/OC Video Card,Free Shipping
ASUS,ASUS ROG GeForce GTX 1070 Ti ROG-STRIX-GTX1070TI-A8G-GAMING Video Card,$4.99 Shipping
ASUS,ASUS ROG GeForce GTX 1060 STRIX-GTX1060-O6G-GAMING Video Card,$4.99 Shipping
ASUS,ASUS ROG Radeon RX Vega 64 STRIX-RXVEGA64-O8G-GAMING Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-6GD Video Card,Free Shipping
ASUS,ASUS ROG GeForce GTX 1080 STRIX-GTX1080-A8G-GAMING Video Card,Free Shipping
GIGABYTE,GIGABYTE AORUS Radeon RX 580 DirectX 12 GV-RX580AORUS-8GD Video Card,$4.99 Shipping
MSI,MSI Radeon RX 570 DirectX 12 RX 570 ARMOR MK2 8G OC Video Card,$4.99 Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR MK2 8G OC Video Card,$4.99 Shipping
ASUS,ASUS ROG Strix Radeon RX 570 O4G Gaming OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (ROG-STRIX-RX570-O4G-GAMING),Free Shipping
